type,type_name_zh,type_name_en
2102,雷暴,Thunder Storm
2103,小雨,Light Rain
2104,大雨,Heavy Rain
2105,风,Fresh Wind
2106,雷暴和沙尘,Thunderstorm and Dust
2107,沙尘,Dust
2108,高海浪,High Wave
2109,霜,Frost
2111,能见度降低,Drop in Visibility
2120,低湿度,Low Humidity
2121,累计降水风险,Accumulated Rain
2122,寒潮,Cold Wave
2123,龙卷风,Tornado
2124,雷暴,Thunderstorm
2125,冰雹,Hail
2126,强降雨,Heavy Rainfall
2127,大风,Gale
2128,热浪,Heat Wave
2129,寒冷,Cold
2130,霜冻,Frost
2131,干旱,Drought
2132,森林火险,Forest Fire
2133,大雪,Heavy Snow
2134,强降温,Severely Falling Temperature
2135,暴雨,Rainstorm
2150,大风,Wind
2151,降雪和结冰,Snow Ice
2152,冰冻,Freeze
2153,雷暴,Thunderstorms
2154,大雾,Fog
2155,高温,High Temperature
2156,低温,Low Temperature
2157,海岸风险,Coastal Event
2158,森林火险,Forest Fire
2159,雪崩,Avalanches
2160,雨,Rain
2161,洪水,Flood
2162,大雨洪水,Rain Flood
2163,泥石流,Mudflow
2164,沙尘暴,Duststorm
2165,冻雨和结冰,Freezing rain and icing
2166,其他,Other Dangers
2190,雷暴,Severe Thunderstorms
2191,破坏性大风,Damaging Winds
2192,草原火灾条件,Veld Fire Conditions
2193,天气预警建议,Weather Advisory
2200,雷雨,Thunderstorm
2201,飑,Squall
2202,空气质量,Air Quality
2203,降雨,Rainfall
2204,大雾,Fog
2205,炎热,Heat
2207,野火,Wildfire
2208,大风,Wind
2209,冻雨,Freezing Rain
2210,龙卷风,Tornado
2211,暴风雪,Blizzard
2212,天气预警,Weather
2213,冬季风暴,Winter Storm
2214,冻毛毛雨,Freezing Drizzle
2215,大雪,Snowfall
2216,吹雪,Blowing Snow
2217,极端寒冷,Extreme Cold
2218,霜冻,Frost
2300,危险海域警报,Hazardous Seas Warning
2301,重度冷冻喷雾警报,Heavy Freezing Spray Warning
2302,红旗警报,Red Flag Warning
2303,冰冻警报,Freeze Warning
2304,强冰冻警报,Hard Freeze Warning
2305,极寒警报,Extreme Cold Warning
2306,风寒警报,Wind Chill Warning
2307,大风警报,Gale Warning
2308,过热警报,Excessive Heat Warning
2309,湖泊效应雪警报,Lake Effect Snow Warning
2311,扬尘警报,Blowing Dust Warning
2312,沙尘暴警报,Dust Storm Warning
2313,风暴警报,Storm Warning
2314,热带风暴警报,Tropical Storm Warning
2315,大风警报,High Wind Warning
2316,高海浪警报,High Surf Warning
2317,洪水警报,Flood Warning
2318,湖岸洪水警报,Lakeshore Flood Warning
2319,沿海洪水警报,Coastal Flood Warning
2320,灰烬警报,Ashfall Warning
2321,火山警报,Volcano Warning
2322,地震预警,Earthquake Warning
2323,雪崩警报,Avalanche Warning
2324,冬季风暴警报,Winter Storm Warning
2325,冰风暴警报,Ice Storm Warning
2326,暴风雪警报,Snow Squall Warning
2327,暴风雪警报,Blizzard Warning
2328,特别海洋警报,Special Marine Warning
2330,台风警报,Typhoon Warning
2331,飓风警报,Hurricane Warning
2332,飓风警报,Hurricane Force Wind Warning
2333,风暴潮警报,Storm Surge Warning
2341,山洪警报,Flash Flood Warning
2343,强雷暴警报,Severe Thunderstorm Warning
2345,强风警报,Extreme Wind Warning
2346,龙卷风警报,Tornado Warning
2348,海啸警报,Tsunami Warning
2349,火灾天气关注,Fire Weather Watch
2350,冰冻关注,Freeze Watch
2351,强冰冻关注,Hard Freeze Watch
2352,风寒关注,Wind Chill Watch
2353,极寒关注,Extreme Cold Watch
2354,过热关注,Excessive Heat Watch
2355,大风关注,High Wind Watch
2356,洪水关注,Flood Watch
2357,湖岸洪水关注,Lakeshore Flood Watch
2358,沿海洪水关注,Coastal Flood Watch
2359,重度冷冻喷雾关注,Heavy Freezing Spray Watch
2360,危险海域关注,Hazardous Seas Watch
2361,冬季风暴关注,Winter Storm Watch
2362,大风警戒,Gale Watch
2363,雪崩关注,Avalanche Watch
2364,风暴关注,Storm Watch
2365,热带风暴关注,Tropical Storm Watch
2366,台风关注,Typhoon Watch
2367,飓风关注,Hurricane Force Wind Watch
2368,飓风关注,Hurricane Watch
2369,风暴潮关注,Storm Surge Watch
2370,山洪关注,Flash Flood Watch
2371,强雷暴关注,Severe Thunderstorm Watch
2372,龙卷风关注,Tornado Watch
2373,海啸关注,Tsunami Watch
2374,空气不易扩散通知,Air Stagnation Advisory
2375,低水位通知,Low Water Advisory
2376,冷冻喷雾通知,Freezing Spray Advisory
2377,冻雾通知,Freezing Fog Advisory
2378,灰烬通知,Ashfall Advisory
2379,霜冻通知,Frost Advisory
2380,大风通知,Wind Advisory
